y,Número de caracteres,item,tipo de processamento,processamento,marca (1=sim; 0=não),variedade
abacate,7,abacate,,in natura,x,
abacaxi,7,abacaxi,,in natura,x,
abatido,7,x,,x,x,
abelha,6,abelha,,in natura,x,
abobora,7,abobora,,in natura,x,
abobrinha,9,abobrinha,,in natura,x,
acafrao,7,acafrao,,in natura,x,
acai,4,acai,,in natura,x,
acelga,6,acelga,,in natura,x,
acem,4,carne,,minimamente processado,x,
acerola,7,acerola,,in natura,x,
achocolatado,12,achocolatado,,in natura,x,
acucar,6,acucar,,ingrediente culinario,x,
aditivo,7,x,,x,x,
agriao,6,agriao,,in natura,x,
agua,4,agua,,in natura,x,
agulhinha,9,arroz,,in natura,x,
aipim,5,aipim,,in natura,x,
alcatra,7,carne,,minimamente processado,x,
alface,6,alface,,in natura,x,
alfredense,10,x,,in natura,x,
alho,4,alho,,in natura,x,
alianca,7,x,,x,alianca,
alimentar,9,x,,x,x,
alimenticios,12,x,,x,x,
alimento,8,x,,x,x,
almeirao,8,almeirao,,in  natura,x,
almondega,9,almondega,,ultraprocessado,x,
alum,4,x,,x,x,
amanteigado,11,leite,,processado,x,
amarela,7,x,,x,x,
amarelo,7,x,,x,x,
ameixa,6,ameixa,,in natura,x,
amendoim,8,amendoim,,minimamente processado,x,
americana,9,alface,,in natura,x,
amido,5,x,,x,x,
apirc,5,x,,x,x,
argentina,9,x,,x,x,
arroz,5,arroz,,minimamente processado,x,
aruana,6,x,,x,x,
asa,3,x,,x,x,
assado,6,x,,x,x,
atc,3,x,,x,x,
aurora,6,x,,x,aurora,
azedo,5,x,,x,x,
azevedo,7,x,,x,x,
bacia,5,x,,x,x,
baia,4,x,,x,x,
banana,6,banana,,in natura,x,
bananada,8,doce,,processado,mariola,
bananas,7,banana,,in natura,x,
baroa,5,x,,x,x,
barra,5,barra de cereais,,ultraprocessado,x,
basicas,7,x,,x,x,
batata,6,batata,,in natura,x,
bebida,6,bebida lactea,,ultraprocessado,x,
beef,4,x,,x,x,
beiju,5,tapioca,,minimamente processado,x,
bella,5,x,,x,bella dica,
belo,4,x,,x,x,
bem,3,x,,x,x,
bene,4,x,,x,x,
benef,5,x,,x,x,
benvita,7,x,,x,benvita,
bergamota,9,tangerina,,in natura,x,
berinjela,9,berinjela,,in natura,x,
beterraba,9,beterraba,,in natura,x,
biju,4,tapioca,,minimamente processado,x,
biscoito,8,biscoito,biscoito,biscoito,x,
bisnaga,7,bisnaga,,minimamente processado,x,
bisnaguinha,11,bisnaga,,minimamente processado,x,
boa,3,x,,x,x,
bode,4,x,,x,x,
bolacha,7,bolacha,bolacha,bolacha,x,
bolo,4,bolo,bolo,bolo,x,
bolos,5,bolo,bolo,bolo,x,
bov,3,bovina,,x,x,
bovina,6,bovina,,x,x,
bovinas,7,bovina,,x,x,
bovino,6,bovina,,x,x,
branca,6,x,,x,x,
branco,6,x,,x,x,
brancos,7,x,,x,x,
brasileira,10,x,,x,x,
broa,4,broa,,minimamente processado,x,
brocolis,8,brocolis,,in natura,x,
cabotia,7,abobora,,in natura,x,
cabotian,8,abobora,,in natura,x,
cafe,4,cafe,,minimamente processado,x,
caipira,7,x,,x,x,
caipirao,8,x,,x,x,
caixa,5,x,,x,x,
caixas,6,x,,x,x,
caixinha,8,x,,x,x,
caja,4,caja,,in natura,x,
cajarana,8,cajaran,,in natura,x,
caju,4,caju,,in natura,x,
calabresa,9,embutido,,ultraprocessado,x,
campo,5,x,,x,campo vivo,
canjica,7,canjica,,processado,x,
caprina,7,x,,x,x,
caprino,7,x,,x,x,
caqui,5,caqui,,in natura,x,
cara,4,cara,,in natura,x,
carcaca,7,x,,x,x,
cardapio,8,x,,x,x,
carioca,7,x,,x,x,
carioquinha,11,x,,x,x,
cariru,6,cariru,,in natura,x,
carne,5,carne,,minimamente processado,x,
carnes,6,carne,,minimamente processado,x,
caruru,6,caruru,,minimamente processado,,
casa,4,x,,x,x,
casca,5,x,descascado,minimamente processado,x,
caseira,7,x,,x,x,
caseiro,7,x,,x,x,
castanha,8,castanha,,minimamente processado,x,
catura,6,x,,x,x,
caturra,7,banana,,x,x,caturra
caupi,5,x,,x,x,
cebola,6,cebola,,in natura,x,
cebolinha,9,cebolinha,,in natura,x,
cenoura,7,cenoura,,in natura,x,
centeio,7,centeio,,in natura,x,
cereais,7,x,,x,x ,
cereja,6,cereja,,in natura,x,
cestas,6,x,,x,x,
charque,7,carne,,processado,x,
cheiro,6,cheiro verde,,in natura,x,
chicoria,8,chicoria,,in natura,x,
chines,6,x,,x,x,
chinesa,7,x,,x,x,
chocolate,9,chocolate,,processado,x,
chuchu,6,chuchu,,in natura,x,
cise,4,x,,x,x,
claf,4,x,,x,x,
climatizada,11,x,,climatizada,x,
coalho,6,x,,x,x,
coapar,6,x,,x,coapar,
cocada,6,doce,,processado,x,
coco,4,coco,,in natura,x,
coentro,7,coentro,,in natura,x,
cofins,6,x,,x,x,
colonia,7,x,,x,x,
colonial,8,x,,x,x,
colorau,7,colorau,,x,x,
com,3,x,,x,x,
comgelada,9,x,,minimamente processado,x,
complemento,11,suplemento alimentar,,ultraprocessado,x,
composto,8,composto lacteo,,ultraprocessado,x,
comprida,8,x,,x,x,
comum,5,x,,x,x,
concentrado,11,x,,x,x,
confeitado,10,x,,x,x,
cong,4,x,,x,x,
congelada,9,x,,minimamente processado,x,
congeladas,10,x,,minimamente processado,x,
congelado,9,x,,minimamente processado,x,
conserva,8,x,,processado,x,
consumo,7,x,,x,x,
convencional,12,x,,x,x,
cookies,7,bolacha,bolacha,bolacha,x,
coopan,6,x,,x,coopan,
cootap,6,x,,x,cootap,
corda,5,x,,x,x,
cortado,7,x,,x,x,
corte,5,x,,x,x,
cortes,6,x,,x,x,
coruda,6,banana,,x,x,coruda
costela,7,carne,,minimamente processado,x,
couve,5,couve,,in natura,x,
coxa,4,frango,,minimamente processado,x,
coxao,5,frango,,minimamente processado,x,
cozida,6,x,,minimamente processado,x,
cozido,6,x,,minimamente processado,x,
cremosa,7,x,,x,x,
cremoso,7,x,,x,x,
crespa,6,x,,x,x,
cristal,7,x,,x,x,
cristalizado,12,x,,x,x,
cru,3,x,,x,x,
crua,4,x,,x,x,
cst,3,x,,x,x,
cubo,4,x,,x,x,
cubos,5,x,,x,x,
cuca,4,bolo,bolo,bolo,x,
cupcake,7,bolo,bolo,bolo,x,
cupuacu,7,cupuacu,,in natura,x,
cura,4,x,,x,x,
cx,2,x,,x,x,
dalia,5,x,,x,x,
danby,5,x,,x,danby cosulati,
debulhado,9,x,,minimamente processado,x,
demello,7,x,,x,demello,
desc,4,x,,minimamente processado,x,
descascada,10,x,,minimamente processado,x,
descascado,10,x,,minimamente processado,x,
desnatado,9,x,,processado,x,
dianteira,9,x,,x,x,
dianteiro,9,x,,x,x,
dica,4,x,,x,bella dica,
diversas,8,x,,x,x,
diversos,8,x,,x,x,
doce,4,x,,x,x,
doces,5,doce,,processado,x,
dog,3,x,,x,x,
dourado,7,carne de peixe,,minimamente processado,x,
dse,3,x,,x,x,
duro,4,x,,x,x,
embalada,8,x,,minimamente processado,x,
embalado,8,x,,minimamente processado,x,
embalados,9,x,,minimamente processado,x,
embalagem,9,x,,minimamente processado,x,
enlatada,8,x,,minimamente processado,x,
enlatado,8,x,,minimamente processado,x,
enriquecido,11,x,,processado,x,
ervas,5,ervas,,ingrediente culinario,x,
escarola,8,escarola,,in natura,x,
especial,8,x,,x,x,
espiga,6,milho,,in natura,x,
espinafre,9,espinafre,,in natura,x,
exceto,6,x,,x,x,
extra,5,x,,x,x,
extrato,7,x,,x,extrato,
extrator,8,x,,x,x,
farinha,7,farinha,,in natura,x,
fatiado,7,x,,x,fatiado,
fecula,6,x,,x,fecula,
feijao,6,feijao,,in natura,x,
fermentada,10,x,fermentado,minimamente processado,x,
fermentado,10,x,fermentado,minimamente processado,x,
file,4,carne,,x,x,
fino,4,x,,x,x,
flocada,7,x,,x,flocada,
flor,4,couveflor,,x,x,
fofo,4,x,,x,x,
folha,5,folha,,x,x,
fontes,6,x,,x,x,
forma,5,x,,x,x,
formosa,7,x,,x,x,
formoso,7,x,,x,x,
forte,5,x,,x,x,
fradinho,8,feijao,,x,x,
frances,7,x,,x,x,
frango,6,frango,,minimamente processado,x,
fresca,6,x,,x,x,
frescal,7,x,,x,x,
frescas,7,x,,x,fresco,
fresco,6,x,,x,fresco,
frito,5,x,,x,frito,
fruta,5,fruta,,x,x,
frutas,6,fruta,,x,x,
fruto,5,x,,x,x,
fuba,4,fuba,,x,farinha,
fugi,4,maca,,x,x,fugi
fuji,4,x,,x,x,
gala,4,maca,,x,x,gala
galinha,7,frango,,x,x,
garibaldi,9,x,,x,garibaldi,
geleia,6,geleia,,processado,x,
generos,7,x,,x,x,
glucose,7,glucose,,x,ultraprocessado,
gluten,6,x,,x,x,
goiaba,6,goiaba,,in natura,x,
goma,4,x,,x,x,
gordura,7,x,,x,x,
gotas,5,x,,x,x,
gov,3,x,,x,x,
gr,2,x,,x,x,
graja,5,x,,x,x,
grao,4,x,,x,x,
graviola,8,graviola,,in natura,x,
grs,3,x,,x,x,
grupo,5,x,,x,x,
guarana,7,guarana,,in natura,x,
havai,5,x,,x,x,
hawai,5,x,,x,x,
homogenizado,12,x,,x,homogenizado,
hortifruticola,14,x,,x,x,
hortifrutigranjeiros,20,x,,x,x,
hot,3,x,,x,x,
individ,7,x,,x,x,
individual,10,x,,x,x,
industrializado,15,x,,ultraprocessado,x,
indv,4,x,,x,x,
inglesa,7,x,,x,x,
inhame,6,inhame,,in natura,x,
inst,4,x,,x,x,
instantaneo,11,x,,x,x,
instantanio,11,x,,x,x,
instataneo,10,x,,x,x,
int,3,x,,x,x,
integral,8,x,,x,x,
inteiro,7,x,,x,x,
iogurte,7,iogurte,,ultraprocessado,x,
iorgute,7,iogurte,,ultraprocessado,x,
iqf,3,x,,x,x,
isabel,6,x,,x,x,
iscas,5,x,,x,x,
italia,6,x,,x,x,
italiana,8,x,,x,x,
jambu,5,jambu,,in natura,x,
japones,7,x,,x,x,
japonesa,8,x,,x,x,
jbs,3,x,,x,JBS,
jerimum,7,abobora,,x,x,jerimum
jerked,6,carne,,x,processada,
kabutia,7,x,,x,x,
kg,2,x,,x,x,
kiwi,4,kiwi,,in natura,x,
lactea,6,bebida lactea,,ultraprocessado,x,
lacteo,6,x,,x,lacteo,
languiru,8,x,,x,x,languiru
laranja,7,laranja,,in natura,x,
laranjas,8,laranja,,in natura,x,
legumes,7,legumes,,in natura,x,
leite,5,leite,,in natura,x,
lima,4,laranja,,in natura,x,lima
limao,5,limao,,in natura,x,
linguica,8,linguica,,ultraprocessado,x,
liquido,7,x,,x,x,
lisa,4,x,,x,x,
litro,5,x,,x,x,
livre,5,x,,x,x,
lombo,5,carne suina,,x,x,
longa,5,x,longa vida,minimamente processado,x,
longo,5,x,,x,x,
lote,4,x,,x,x,
lt,2,x,,x,x,
maca,4,maca,,in natura,x,
macarrao,8,massa,,minimamente processado,x,
macassar,8,feijao,,x,x,feijao-de-corda
macaxeira,9,mandioca,,in natura,x,
macio,5,x,,x,x,
madura,6,x,,x,x,
maltodex,8,suplemento alimentar,,ultraprocessado,x,
mamao,5,mamao,,in natura,x,
mandioca,8,mandioca,,in natura,x,
mandioquinha,12,mandioquinha,,in natura,x,
manga,5,manga,,in natura,x,
manteiga,8,manteiga,,processado,x,
maracuja,8,maracuja,,in natura,x,
marca,5,x,,x,x,
mariola,7,x,,x,mariola,
mascavo,7,acucar mascavo,,processado,x,
massa,5,massa ,,minimamente processado,x,
maxixe,6,maxixe,,in natura,x,
mecanicamente,13,,,,,
medio,5,x,,x,x,
meia,4,x,,x,x,
meio,4,x,,x,x,
mel,3,mel,,minimamente processado,x,
melado,6,melado,,minimamente processado,x,
melancia,8,melancia,,in natura,x,
melancias,9,melancia,,in natura,x,
melao,5,melao,,in natura,x,
menina,6,,,,,
mexerica,8,mexerica,,in natura,x,
milho,5,milho,,in natura,x,
mimosa,6,,,,,
mimoso,6,,,,,
minas,5,,,,,
minerais,8,,,,,
miolo,5,,,,,
mista,5,,,,,
mistura,7,,,,,
mix,3,x,,x,x,
ml,2,x,,x,x,
moida,5,x,,x,x,
moido,5,x,,x,x,
mole,4,x,,x,x,
molho,5,x,,minimamente processado,x,
monte,5,x,,x,x,
moranga,7,abobora,,x,x,moranga
morango,7,morango,,in natura,x,
mozarela,8,x,,x,x,
mucarela,8,x,,x,x,
mugunza,7,canjica,,processado,x,
mulatinho,9,x,,x,x,
murcote,7,x,,x,x,
mussarela,9,x,,x,x,
nacional,8,x,,x,x,
nanica,6,x,,x,x,
nao,3,x,,x,x,
natura,6,x,,x,x,
natural,7,x,,x,x,
nectar,6,x,,ultraprocessado,x,
nhoque,6,massa ,,minimamente processado,x,
niagara,7,,,,,
normal,6,x,,x,x,
nossa,5,x,,x,x,
nutricional,11,x,,x,x,
oleo,4,oleo,ingredientes culinarios,processado,x,
omega,5,,,,,
org,3,,,in natura,,
organica,8,,,in natura,,
organicas,9,,,in natura,,
organico,8,,,in natura,,
osso,4,x,,x,x,
outros,6,x,,x,x,
ovelha,6,x,,x,x,
ovina,5,x,,x,x,
ovino,5,x,,x,x,
ovo,3,ovo,,in natura,,
ovos,4,ovo,,in natura,,
pacote,6,,,,,
pacotes,7,,,,,
pacova,6,,,,,
pacovam,7,,,,,
pacovan,7,,,,,
padronizado,11,,,,,
paleta,6,,,,,
palha,5,,,,,
palmer,6,x,,x,x,
palmito,7,palmito,,?,x,
pamonha,7,pamonha,,minimamente processado,x,
pao,3,pao,,fermentado,x,
papaia,6,x,,x,x,
para,4,,,,,
parbo,5,x,parboilizado,minimamente processado,x,
parboilizado,12,x,parboilizado,minimamente processado,x,
parbolizado,11,x,parboilizado,minimamente processado,x,
parcial,7,x,,x,x,
parcialmente,12,x,,x,x,
past,4,x,,minimamente processado,x,
pasteurizado,12,x,,minimamente processado,x,
pastoso,7,,,,,
patinho,7,,,,,
paulista,8,x,,x,x,
paulo,5,x,,x,x,
pct,3,,,,,
pcts,4,,,,,
peca,4,x,,x,x,
pedaco,6,x,,x,x,
peito,5,x,,x,x,
peixao,6,x,,x,x,
peixe,5,,,,,
pele,4,,,,,
pepino,6,pepino,,in natura,x,
pera,4,pera,,in natura,x,
pernil,6,,,,,
perola,6,,,,,
pescada,7,carne de peixe,,minimamente processado,,
pessego,7,pessego,,in natura,,
peta,4,,,,,
picada,6,,,,,
picado,6,,,,,
pimenta,7,pimenta,,in natura,,
pimentao,8,pimentao,,in natura,,
pis,3,x,,x,x,
pizza,5,,,,,
plastico,8,,,,,
pmsp,4,,,,,
pokan,5,,,,,
polido,6,,,,,
poliproleno,11,,,,,
polpa,5,,,,,
polpas,6,,,,,
polvilho,8,,,,,
ponca,5,,,,,
ponkan,6,,,,,
porco,5,,,,,
pote,4,,,,,
prata,5,x,,x,x,
prato,5,,,,,
pre,3,,,,,
preapada,8,,,,,
preapado,8,,,,,
pref,4,x,,x,x,
prefeitura,10,x,,x,x,
preto,5,x,,x,x,
processada,10,x,,processado,,
processado,10,x,,processado,,
produtor,8,x,,x,x,
produtos,8,x,,x,x,
pronto,6,,,,,
proteina,8,x,,x,x,
puba,4,,,,,
pupunha,7,,,,,
puro,4,,,,,
queijo,6,queijo,,processado,x,
quiabo,6,quiabo,,in natura,x,
quimico,7,,,,,
rabanete,8,rabanete,,in natura,x,
rajado,6,,,,,
ralado,6,x,,x,x,
rama,4,,,,,
rapadura,8,doce,,processado,x,
recheada,8,,,,,
recheio,7,,,,,
ref,3,x,,x,x,
refeicao,8,x,,x,x,
refeicoes,9,x,,x,x,
refrigerado,11,,,,,
reg,3,x,,x,x,
regional,8,x,,x,x,
repolho,7,repolho,,in natura,,
requeijao,9,,,,,
resfriada,9,,,,,
resfriado,9,,,,,
rico,4,x,,x,x,
rio,3,x,,x,x,
rosca,5,rosquinha,,minimamente processado,,
rosquinha,9,rosquinha,,minimamente processado,,
rosquinhas,10,rosquinha,,minimamente processado,,
roxo,4,x,,x,x,
rubi,4,x,,x,x,
rucula,6,rucula,,in natura,,
sabor,5,x,,x,x,
sabores,7,x,,x,x,
sache,5,x,,x,x,
sacos,5,x,,x,x,
sal,3,sal,,ingrediente culinario,x,
salada,6,,,,,
salgada,7,,,,,
salgado,7,,,,,
salsa,5,salsa,,in natura,x,
salsicha,8,,,,,
salsinha,8,salsinha,,in natura,x,
sao,3,x,,x,x,
sassami,7,x,,x,x,
seca,4,x,,x,x,
seco,4,x,,x,x,
sede,4,x,,x,x,
seleta,6,x,,x,x,
sem,3,x,,x,x,
semente,7,,,,,
semi,4,,,,,
semola,6,,,,,
separada,8,,,,,
sequilho,8,,,,,
sif,3,,,,,
sig,3,,,,,
silvestre,9,,,,,
simples,7,x,,x,x,
slin,4,x,,x,x,
sobrecoxa,9,frango,,minimamente processado,x,
soja,4,proteina texturizada de soja,,ultraprocessado,x,
carne de sol,12,carne bovina,,processada,x,
sortido,7,x,,,,
sovado,6,x,,x,x,
suco,4,suco,,minimamente processado,x,
suina,5,carne suina,,minimamente processado,x,
suino,5,carne suina,,minimamente processado,x,
sul,3,x,,x,x,
suplemento,10,suplemento alimentar,,ultraprocessado,x,
tahiti,6,x,,x,x,
taiti,5,x,,x,x,
tamarindo,9,tamarindo,,in natura,x,
tangerina,9,tangerina,,in natura,x,
tapereba,8,caja,,in natura,x,
tapioca,7,tapioca,,minimamente processado,x,
tempero,7,x,,x,x,
terra,5,x,,x,terra viva,
tetrapack,9,x,,x,tetrapack,
texturizada,11,x,,x,x,
tilapia,7,carne de peixe,,minimamente processado,x,
tinto,5,x,,x,x,
tipo,4,x,,x,x,
tipos,5,x,,x,x,
tomate,6,tomate,,in natura,x,
tome,4,x,,x,x,
tommy,5,x,,x,x,
top,3,x,,x,x,
torrada,7,x,torrado,minimamente processado,x,
torrado,7,x,torrado,minimamente processado,x,
tortilhone,10,massa,,processado,x,
transparentes,13,x,,x,x,
traseira,8,x,,x,x,
traseiro,8,x,,x,x,
trigo,5,trigo,,x,x,
tto,3,x,,x,x,
uht,3,x,,x,x,
un,2,x,,x,x,
unida,5,x,,x,x,
unidade,7,x,,x,x,
uva,3,uva,,in natura,x,
vaca,4,x,,x,x,
vacuo,5,x,,x,x,
vagem,5,vagem,,in natura,x,
valencia,8,x,,x,x,
variados,8,x,,x,x,
veneto,6,x,,x,monte veneto,
verde,5,x,,x,x,
vermelha,8,x,,x,x,
vermelho,8,x,,x,x,
vida,4,x,longa vida,minimamente processado,x,
vinagreira,10,vinagreira,,in natura,x,
visceras,8,visceras,,x,x,
vista,5,x,,x,vista,
vitaminas,9,,,,,
viva,4,x,,x,terra viva,
vivo,4,x,,x,campo vivo,
xarope,6,x,,x,xarope,